ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PD,MORENA,PES,RSP,FXM,CAND_IND1,CAND_IND2,CAND_IND3,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,C_PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
10,DURANGO,1,CANATLAN,37,54,3317,2057,207,391,4044,216,58,1801,49,171,116,,,,85,79,6,1,57,12655,8,294,12957,24893,
10,DURANGO,2,CANELAS,12,13,247,160,2,40,5,2,8,728,6,20,8,,,,6,3,2,0,7,1244,0,26,1270,3158,
10,DURANGO,3,CONETO DE COMONFORT,9,11,178,501,9,58,14,29,22,632,12,73,10,,,,15,17,1,0,12,1583,0,40,1623,3362,
10,DURANGO,4,CUENCAME,37,56,836,2543,586,318,2957,248,34,3380,103,221,97,,,,82,36,10,12,65,11528,3,414,11945,26212,
10,DURANGO,5,DURANGO,329,822,47200,41593,2805,8109,3616,13731,1238,46012,4251,15441,3827,2054,602,721,2316,1422,87,102,1964,197091,188,5719,202998,496019,
10,DURANGO,6,SIMON BOLIVAR,15,22,1670,757,39,63,551,51,75,927,20,71,33,,,,13,28,5,0,9,4312,0,114,4426,7744,
10,DURANGO,7,GOMEZ PALACIO,206,456,12110,23247,970,968,4935,2457,623,52104,1957,609,1434,,,,723,467,35,127,446,103212,88,2477,105777,264145,
10,DURANGO,8,GUADALUPE VICTORIA,26,54,1262,1845,1657,306,3388,729,163,1931,201,1255,92,,,,64,24,21,23,32,12993,5,442,13440,29727,
10,DURANGO,9,GUANACEVI,21,29,579,1935,18,62,28,168,10,635,13,30,13,,,,29,26,1,0,3,3550,1,88,3639,7456,
10,DURANGO,10,HIDALGO,7,10,171,413,3,286,169,50,3,391,53,16,17,,,,9,8,0,1,16,1606,1,64,1671,3284,
10,DURANGO,11,INDE,16,17,278,742,13,37,17,187,10,674,10,15,3,,,,20,17,4,0,3,2030,1,95,2126,4437,
10,DURANGO,12,LERDO,79,190,4888,16985,389,741,4612,2496,92,17936,995,925,503,,,,399,180,6,28,199,51374,35,1071,52480,111442,
10,DURANGO,13,MAPIMI,24,41,1157,2123,168,289,194,271,95,2734,47,75,118,,,,85,70,6,7,42,7481,58,224,7763,18810,
10,DURANGO,14,MEZQUITAL,32,65,1073,5942,66,689,5519,93,101,3927,152,284,136,,,,76,114,6,4,96,18278,1,733,19012,31935,
10,DURANGO,15,NAZAS,17,21,770,516,28,253,128,188,37,1767,30,154,70,,,,7,15,1,1,26,3991,0,133,4124,9802,
10,DURANGO,16,NOMBRE DE DIOS,19,29,380,531,298,993,1436,176,65,1314,97,73,42,,,,24,6,0,0,106,5541,2,201,5744,14937,
10,DURANGO,17,NUEVO IDEAL,29,45,2805,771,89,183,120,381,19,2844,36,75,59,,,,85,76,7,1,45,7596,2,309,7907,21351,
10,DURANGO,18,OCAMPO,16,17,664,786,23,63,23,364,18,1622,22,29,19,,,,14,25,2,1,6,3681,2,130,3813,6959,
10,DURANGO,19,EL ORO,23,29,888,578,48,102,42,272,12,1297,29,21,9,,,,56,33,4,1,12,3404,1,215,3620,9883,
10,DURANGO,20,OTAEZ,14,16,433,191,6,25,9,29,9,985,13,30,6,,,,2,18,0,0,5,1761,0,42,1803,3876,
10,DURANGO,21,PANUCO DE CORONADO,16,24,691,1708,173,144,56,97,16,1138,29,149,71,,,,16,24,0,2,44,4358,1,147,4506,10912,
10,DURANGO,22,PEÑON BLANCO,14,20,508,999,264,64,600,99,15,1305,51,97,12,,,,24,11,4,5,19,4077,0,107,4184,8650,
10,DURANGO,23,POANAS,23,40,1005,1908,208,227,2786,153,269,1679,199,41,62,,,,48,19,4,2,33,8643,0,236,8879,20371,
10,DURANGO,24,PUEBLO NUEVO,44,70,1714,4900,421,194,477,384,46,3989,189,153,117,,,,163,89,7,5,132,12980,4,352,13336,33721,
10,DURANGO,25,RODEO,19,25,442,784,786,83,56,88,14,1666,29,117,95,,,,15,5,8,3,12,4203,2,100,4305,10205,
10,DURANGO,26,SAN BERNARDO,11,13,281,360,16,22,13,112,3,378,8,8,8,,,,5,9,3,0,3,1229,1,49,1279,2725,
10,DURANGO,27,SAN DIMAS,33,42,1905,943,50,104,135,133,48,2464,35,103,57,,,,25,27,2,0,9,6040,3,138,6181,13462,
10,DURANGO,28,SAN JUAN DE GUADALUPE,12,15,154,491,36,101,345,54,21,1250,24,64,9,,,,3,1,2,0,13,2568,1,74,2643,4444,
10,DURANGO,29,SAN JUAN DEL RIO,22,27,503,1814,12,56,50,172,129,1246,39,62,29,,,,22,21,0,0,4,4159,0,118,4277,10099,
10,DURANGO,30,SAN LUIS DEL CORDERO,4,5,155,73,5,53,31,35,4,496,5,17,5,,,,4,0,0,0,2,885,1,30,916,1911,
10,DURANGO,31,SAN PEDRO DEL GALLO,5,6,118,170,6,91,5,9,1,359,6,3,2,,,,2,3,0,0,12,787,0,9,796,1486,
10,DURANGO,32,SANTA CLARA,8,12,197,550,268,68,452,59,12,795,25,73,11,,,,26,13,6,2,8,2565,0,91,2656,5263,
10,DURANGO,33,SANTIAGO PAPASQUIARO,58,84,6511,2760,203,330,273,264,98,4617,100,96,410,,,,123,203,5,2,62,16057,3,507,16567,38119,
10,DURANGO,34,SUCHIL,10,13,401,406,43,154,406,81,22,903,23,24,21,,,,12,8,1,0,28,2533,4,62,2599,5485,
10,DURANGO,35,TAMAZULA,29,37,576,2894,27,70,34,38,47,4048,30,105,15,,,,20,45,2,0,11,7962,1,212,8175,16886,
10,DURANGO,36,TEPEHUANES,23,30,488,1844,20,73,53,65,29,1519,23,22,36,,,,16,15,3,0,19,4225,3,134,4362,10244,
10,DURANGO,37,TLAHUALILO,23,34,621,1986,111,117,209,206,21,3643,25,86,25,,,,22,16,1,4,45,7138,2,118,7258,15380,
10,DURANGO,38,TOPIA,13,16,442,293,12,40,24,15,3,937,45,24,10,,,,14,14,1,0,11,1885,0,60,1945,5850,
10,DURANGO,39,VICENTE GUERRERO,16,31,998,1016,148,223,1023,264,28,2122,66,23,36,,,,29,32,3,0,51,6062,5,183,6250,18158,
