ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PSD,MORENA,PHM,PANALM,PESM,MAS,PODEMOS,MP,BC,FUTURO,FM,PAS,RPM,PES,RSP,FXM,APM,PAN_PSD,PRI_PRD,MORENA_PANALM_PESM,MORENA_PANALM,MORENA_PESM,PANALM_PESM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,1,AMACUZAC,11,23,147,200,107,191,595,3198,19,879,71,19,1336,97,43,1314,9,23,35,6,50,27,29,42,0,,,,,,,8437,22,274,8733,13645,
17,MORELOS,2,ATLATLAHUCAN,12,31,3348,503,82,271,720,157,86,2645,957,409,118,471,149,37,103,192,96,11,91,696,696,106,15,,1,,,,,11960,16,591,12567,18497,
17,MORELOS,3,AXOCHIAPAN,20,47,131,328,160,2373,1586,938,733,3960,1241,47,1022,22,31,298,74,129,26,9,717,126,1275,107,93,,17,,,,,15443,5,711,16159,27124,
17,MORELOS,4,AYALA,42,108,10837,436,167,207,301,3656,60,7122,983,479,343,37,90,4407,161,73,132,81,176,1690,153,129,85,,39,526,119,56,11,32556,8,1287,33851,64805,
17,MORELOS,5,COATLAN DEL RIO,11,18,81,172,52,49,30,3026,81,601,7,24,121,15,80,1302,8,5,78,2,5,9,53,51,3,,,,,,,5855,0,243,6098,8369,
17,MORELOS,6,CUAUTLA,91,239,7000,3121,947,1012,6928,6267,2773,18023,2591,432,363,261,570,3558,375,487,846,115,1284,3662,2789,2242,302,,82,198,71,51,12,66362,67,2836,69265,146670,
17,MORELOS,7,CUERNAVACA,206,537,36278,13725,4538,4039,5670,3410,2587,37798,1555,2875,4005,5107,1531,1660,1437,782,2178,1179,3799,1024,1560,8371,1174,297,45,223,35,159,26,147067,319,6228,153614,319681,
17,MORELOS,8,EMILIANO ZAPATA,21,102,3670,6637,1365,1332,1246,338,262,5154,298,618,438,6449,384,103,36,90,126,172,173,137,2130,222,164,,669,,,,,32213,29,1125,33367,67407,
17,MORELOS,9,HUITZILAC,11,28,1121,1299,71,956,910,434,53,1352,100,555,141,500,115,99,265,53,26,62,1469,303,401,248,54,0,23,53,14,11,6,10694,2,675,11371,15982,
17,MORELOS,10,JANTETELCO,8,22,1479,84,45,58,113,1741,16,1051,505,113,82,10,20,691,231,134,11,12,6,2202,372,21,21,,0,13,10,9,1,9051,6,243,9300,13151,
17,MORELOS,11,JIUTEPEC,72,265,9140,4180,3524,1573,1134,4285,348,23564,816,9711,360,492,351,493,392,250,469,364,3979,1696,5005,2202,189,,212,,,,,74729,85,3013,77827,170522,
17,MORELOS,12,JOJUTLA,36,80,416,1151,259,751,2383,138,1531,7047,2774,114,4639,686,87,1121,278,88,103,20,317,106,594,257,59,,51,,,,,24970,17,1010,25997,47872,
17,MORELOS,13,JONACATEPEC,11,22,1839,64,37,268,192,1304,9,1479,283,398,218,55,22,786,24,43,16,23,36,1153,11,64,3,,5,40,9,15,3,8399,0,233,8632,12333,
17,MORELOS,14,MAZATEPEC,7,15,93,391,26,28,30,2840,9,614,16,17,574,18,20,867,2,85,15,9,11,65,39,73,9,,,,,,,5851,1,234,6086,8318,
17,MORELOS,15,MIACATLAN,9,23,630,1707,164,175,416,461,254,1949,32,68,432,24,267,265,21,27,25,10,88,169,839,106,25,,,13,1,9,3,8180,5,501,8686,12541,
17,MORELOS,16,OCUITUCO,10,23,5061,171,58,56,1986,138,22,677,379,394,145,141,27,11,26,193,42,68,74,48,396,101,21,,0,,,,,10235,1,267,10503,13671,
17,MORELOS,17,PUENTE DE IXTLA,25,53,252,1326,948,62,1019,4912,93,2442,32,344,2333,187,302,3430,156,87,90,15,145,96,71,82,5,,,,,,,18429,1,523,18953,31392,
17,MORELOS,18,TEMIXCO,43,143,3987,2949,637,886,5063,5914,259,7769,137,548,1213,291,856,1321,169,458,329,203,342,953,2448,927,152,,,135,27,92,12,38077,24,1845,39946,89775,
17,MORELOS,19,TEPALCINGO,16,37,59,165,76,3639,1644,67,71,1742,846,25,696,68,27,339,29,31,33,9,61,83,426,160,1595,,41,,,,,11932,8,443,12383,21070,
17,MORELOS,20,TEPOZTLAN,19,54,644,557,200,414,2595,2514,318,3791,1226,122,70,93,294,64,38,877,92,42,506,198,534,204,1212,0,7,7,1,5,0,16625,9,849,17483,30764,
17,MORELOS,21,TETECALA,6,13,68,81,89,26,127,2094,5,663,12,77,857,14,8,783,4,4,11,1,3,19,32,18,2,,,,,,,4998,0,180,5178,6513,
17,MORELOS,22,TETELA DEL VOLCAN,4,15,2233,62,10,42,523,307,26,612,131,1779,61,189,11,17,58,146,34,1,60,240,647,17,1,,1,,,,,7208,1,243,7452,9946,
17,MORELOS,23,TLALNEPANTLA,4,9,53,157,20,89,364,142,178,928,70,40,20,317,14,79,26,25,39,98,91,112,626,78,38,0,0,2,0,3,0,3609,1,263,3873,5220,
17,MORELOS,24,TLALTIZAPAN DE ZAPATA,27,67,2642,1471,369,118,896,2721,290,6201,203,200,1005,61,45,1891,113,271,142,200,191,2373,150,148,43,,27,24,3,14,2,21814,12,813,22639,39020,
17,MORELOS,25,TLAQUILTENANGO,25,52,387,843,195,2172,1109,46,398,3221,960,162,994,507,34,500,184,206,29,6,123,50,1687,226,70,0,12,,,,,14121,4,556,14681,25553,
17,MORELOS,26,TLAYACAPAN,9,24,246,362,120,225,617,265,42,2125,107,121,76,246,107,963,109,378,30,578,49,1748,521,188,299,0,0,2,0,1,0,9525,3,566,10094,14566,
17,MORELOS,27,TOTOLAPAN,7,16,216,178,80,207,171,657,20,1128,164,554,34,43,24,181,7,101,111,11,390,504,479,49,45,0,17,159,2,5,1,5538,2,319,5859,8376,
17,MORELOS,28,XOCHITEPEC,24,87,1322,6774,503,440,1305,543,113,6455,108,219,684,4375,184,48,31,330,117,45,32,145,373,244,737,,457,,,,,25584,10,1015,26609,53465,
17,MORELOS,29,YAUTEPEC,52,136,2191,2002,494,618,339,751,920,5095,146,16985,208,140,181,95,371,116,119,51,1460,641,1797,2736,220,,,,,,,37676,24,1608,39308,80375,
17,MORELOS,30,YECAPIXTLA,19,63,8176,757,200,67,4176,177,94,3665,96,221,163,167,67,20,336,266,175,10,95,120,872,100,16,,43,,,,,20079,5,525,20609,37729,
17,MORELOS,31,ZACATEPEC,26,53,1350,869,106,117,691,3915,61,4257,35,562,1674,222,91,2288,117,74,68,22,74,88,251,259,16,,,,,,,17207,7,621,17835,30015,
17,MORELOS,32,ZACUALPAN DE AMILPAS,6,13,1687,47,54,15,561,85,17,1434,45,529,36,319,15,3,61,29,11,10,104,164,156,134,3,,0,,,,,5519,1,195,5715,7496,
17,MORELOS,33,TEMOAC,6,18,892,783,41,24,594,246,118,1926,459,1091,224,206,50,12,16,101,15,5,16,628,547,426,3,,24,,,,,8447,36,317,8800,11498,
17,MORELOS,34,COATETELCO,5,13,45,274,44,13,391,61,23,454,15,28,28,111,145,326,89,52,17,3,9,300,188,55,121,,,10,44,3,0,2849,0,112,2961,7982,
17,MORELOS,35,XOXOCOTLA,7,28,235,237,53,53,160,2266,33,2540,25,51,801,810,44,1094,20,82,26,4,12,36,156,204,3,,,,,,,8945,303,347,9595,19345,
17,MORELOS,36,HUEYAPAN,4,8,473,24,19,13,163,66,1,222,14,85,6,128,6,0,3,12,6,1,56,11,133,11,0,,0,,,,,1453,0,83,1536,5381,
