ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,UDC,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_UDC,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
5,COAHUILA,1,ABASOLO,2,3,44,441,1,7,39,15,4,198,2,1,0,0,0,752,0,11,763,1283,
5,COAHUILA,2,ACUÑA,72,205,1074,24228,2354,4107,2482,13678,343,13832,344,270,17,95,486,63310,13,2085,65408,125672,
5,COAHUILA,3,ALLENDE,15,34,294,4405,112,68,1892,222,148,2511,55,32,2,3,6,9750,1,268,10019,19151,
5,COAHUILA,4,ARTEAGA,21,40,545,7965,79,377,1037,97,151,2166,111,103,2,9,2,12644,1,324,12969,20420,
5,COAHUILA,5,CANDELA,3,4,192,491,12,2,201,5,14,134,3,2,0,0,0,1056,0,26,1082,1614,
5,COAHUILA,6,CASTAÑOS,22,44,376,5425,194,985,2242,205,152,3793,46,40,2,12,6,13478,14,868,14360,22281,
5,COAHUILA,7,CUATRO CIENEGAS,14,21,356,2874,91,83,854,225,30,791,29,26,1,3,2,5365,0,125,5490,9552,
5,COAHUILA,8,ESCOBEDO,4,6,26,799,22,9,253,6,12,248,6,7,0,1,0,1389,0,28,1417,2536,
5,COAHUILA,9,FRANCISCO I. MADERO,42,81,436,12681,653,374,1588,689,256,11963,115,90,3,26,13,28887,6,634,29527,44888,
5,COAHUILA,10,FRONTERA,41,107,2158,13763,408,444,5730,583,317,10251,177,199,6,19,34,34089,7,513,34609,62693,
5,COAHUILA,11,GENERAL CEPEDA,16,20,1486,2287,165,127,843,28,33,894,14,41,1,2,1,5922,0,127,6049,9618,
5,COAHUILA,12,GUERRERO,5,5,60,681,17,3,31,5,7,228,4,7,0,0,0,1043,0,22,1065,1830,
5,COAHUILA,13,HIDALGO,2,3,34,396,15,100,115,4,3,88,9,3,0,0,3,770,0,23,793,1345,
5,COAHUILA,14,JIMENEZ,10,17,66,1770,109,98,258,882,34,1244,124,17,2,2,10,4616,5,176,4797,8633,
5,COAHUILA,15,JUAREZ,4,4,40,475,31,3,188,9,9,97,1,1,0,0,0,854,0,12,866,1379,
5,COAHUILA,16,LAMADRID,2,4,105,609,4,4,278,7,6,135,3,0,0,0,0,1151,0,25,1176,1628,
5,COAHUILA,17,MATAMOROS,62,148,812,26872,2461,1740,5176,1090,1185,17720,164,145,7,62,19,57453,9,1655,59117,86541,
5,COAHUILA,18,MONCLOVA,124,302,13052,33018,1254,5333,11879,2012,2306,27488,532,746,32,49,74,97775,29,2417,100221,178486,
5,COAHUILA,19,MORELOS,6,13,115,1690,47,28,765,46,39,918,25,22,0,3,0,3698,2,79,3779,7182,
5,COAHUILA,20,MUZQUIZ,48,98,754,12612,1101,209,6800,330,625,5855,100,121,6,30,6,28549,4,884,29437,55716,
5,COAHUILA,21,NADADORES,8,12,153,1663,23,22,576,30,19,731,15,19,2,1,0,3254,0,53,3307,5050,
5,COAHUILA,22,NAVA,16,42,562,5194,130,194,1846,206,160,3722,60,49,2,10,9,12144,5,256,12405,24851,
5,COAHUILA,23,OCAMPO,13,19,89,1799,56,18,941,13,16,447,18,13,2,0,1,3413,0,75,3488,7138,
5,COAHUILA,24,PARRAS,34,68,398,9114,544,471,3770,375,251,4337,80,65,4,12,12,19433,2,618,20053,34709,
5,COAHUILA,25,PIEDRAS NEGRAS,87,236,2396,30446,2486,1452,3150,1253,1359,25586,583,475,32,95,43,69356,9,1558,70923,140088,
5,COAHUILA,26,PROGRESO,6,6,20,1348,8,4,342,20,8,204,7,16,1,1,0,1979,1,47,2027,2935,
5,COAHUILA,27,RAMOS ARIZPE,44,136,2191,17896,353,4783,2826,488,677,8670,290,230,9,36,24,38473,9,1080,39562,80763,
5,COAHUILA,28,SABINAS,37,93,933,12026,618,713,2668,4433,336,7205,148,148,11,37,57,29333,6,831,30170,52032,
5,COAHUILA,29,SACRAMENTO,2,4,38,734,3,18,217,43,11,196,5,7,0,0,0,1272,0,29,1301,2033,
5,COAHUILA,30,SALTILLO,410,1057,20490,163462,3860,19077,27938,6198,11384,87175,2894,1812,82,225,226,344823,115,8842,353780,639684,
5,COAHUILA,31,SAN BUENAVENTURA,17,34,482,4854,96,118,2128,202,109,2716,60,47,2,9,2,10825,1,187,11013,19316,
5,COAHUILA,32,SAN JUAN DE SABINAS,34,63,532,6617,81,155,3891,338,437,6591,68,88,4,6,4,18812,1,441,19254,34561,
5,COAHUILA,33,SAN PEDRO,74,140,870,20667,4394,5307,3232,2402,450,11827,179,140,25,140,87,49720,53,2119,51892,74950,
5,COAHUILA,34,SIERRA MOJADA,5,8,59,1064,9,9,592,16,9,161,21,7,0,0,0,1947,0,51,1998,3787,
5,COAHUILA,35,TORREON,400,929,30671,141336,5301,12917,17861,4022,5764,88303,1522,1198,52,127,110,309184,64,7010,316258,538871,
5,COAHUILA,36,VIESCA,22,33,263,5149,154,182,1234,98,63,2353,32,27,1,4,4,9564,0,208,9772,15317,
5,COAHUILA,37,VILLA UNION,8,11,92,1325,68,17,348,38,15,728,13,9,2,3,1,2659,1,92,2752,5468,
5,COAHUILA,38,ZARAGOZA,13,21,271,2009,52,104,562,1110,256,947,27,33,2,0,16,5389,4,195,5588,11115,
